name,geom,natoms,dlpno,mp2,wb97,b973c,pbe,pbeSVP,pbeh3c,b3lypTZ,b3lypSVP,gfn0,gfn1,gfn2,pm7E,pm7HOF,mmff,uff,gaff,ani1x,ani1cc,ani2,bob,bat,battynatoms
omegacsd_FAHXIV,rmsd126-opt.mol,38,4139.043414431008,4279.1678918794905,4246.698883417624,4306.087425413126,4449.370232940986,4528.7280405926485,-440044.5654490736,4255.236192966218,4330.038571049248,4429.223630638408,6439.44,7535.53,4104.802718117005,-195.83136000000002,-89.99758902737169,126.91399487688787,22.362651054179114,669343.1376005859,668797.4376352539,669341.0153623399,,,
omegacsd_FAHXIV,rmsd118-opt.mol,38,4139.132161122945,4279.251961714484,4246.860133320524,4306.2138076776755,4449.524041007571,4528.839675875741,-440044.46926914784,4255.396001709417,4330.1320135520555,4429.212874757134,6439.47,7535.57,4104.8439961435,-195.83416,-90.40168106597092,126.75003014441322,22.06552046537664,669343.2908010255,668797.5908356934,669341.1276071796,,,
omegacsd_FAHXIV,rmsd149-opt.mol,38,4139.109499414872,4279.2349869338905,4246.754449448225,4306.098534267847,4449.39273010549,4528.7123385844125,-440044.5877272297,4255.286118902197,4330.02680195354,4429.233976337448,6439.44,7535.52,4104.801795702997,-195.81873000000002,-90.27802267212371,127.69901881485184,22.4231594025718,669343.1376005859,668797.5142354737,669341.0888021075,,,
omegacsd_FAHXIV,rmsd104-opt.mol,38,4139.073133546874,4279.071985986617,4246.788249371104,4306.233358443004,4449.560018287235,4528.860272020983,-440044.3937761964,4255.31202889866,4330.080091317115,4429.06375531392,6439.24,7535.43,4104.805946565996,-195.76901,-90.54073474662657,123.39227957611575,21.40914410735589,669343.2908010255,668797.3610350342,669340.8770853751,,,
omegacsd_FAHXIV,rmsd150-opt.mol,38,4139.191281054079,4279.224900248039,4246.774165223544,4306.175478006888,4449.462762868049,4528.835752582925,-440044.3338854439,4255.307890886588,4330.118434244077,4429.202716961408,6439.44,7535.55,4104.803409927497,-195.76994,-90.31408463867766,126.48013393291158,22.193256876854125,669343.4440014649,668797.5142354737,669341.0920187207,4139.640316,4140.1440619999985,4139.308545
omegacsd_FAHXIV,rmsd132-opt.mol,38,4139.083911506995,4279.211601530852,4246.541744375239,4305.882845364673,4449.197986443021,4528.572998367389,-440044.6421682293,4255.1166364115315,4329.877505150495,4429.319388949216,6439.44,7535.52,4104.765360350005,-195.75092,-89.7516400507367,129.69114108336728,23.1663336421378,669342.9077999268,668797.1312343751,669340.7811480165,,,
omegacsd_FAHXIV,rmsd151-opt.mol,38,4139.132100622996,4279.219431494936,4246.7748563856685,4306.1449714883975,4449.466450091102,4528.796317069803,-440044.4833542869,4255.329227732151,4330.059696822005,4429.301408644922,6439.48,7535.59,4104.825778466999,-195.80955,-90.2141850073882,127.40248931337824,22.320727740852323,669343.0610003662,668797.2844348146,669340.8845471697,4138.497632,4137.76957,4139.038137
omegacsd_FAHXIV,rmsd201-opt.mol,38,4139.12026031813,4279.2453029892895,4246.924889712957,4306.289049408165,4449.588273609065,4528.896418979096,-440044.38512810634,4255.461318025425,4330.175468273469,4429.224427791297,6439.49,7535.64,4104.8580629570015,-195.83248,-90.48060999027426,125.96383495375427,21.756009646292892,669343.2908010255,668797.5142354737,669341.1495811358,4136.713173,4137.839803,4139.172998
omegacsd_FAHXIV,rmsd42-opt.mol,38,4139.565644936522,4278.904503161426,4247.2207069751385,4306.662427893719,4449.949678012797,4528.199956649392,-440043.1618603354,4255.721729759473,4329.328897084998,4427.974343740248,6438.63,7534.97,4104.866134079497,-193.09417,-95.21832733807938,110.46906081109897,20.290057549855632,669343.8270025635,668796.9014337158,669343.5643786858,4130.543243,4134.774573,4138.829706
omegacsd_FAHXIV,rmsd189-opt.mol,38,4139.102022210253,4279.164650490494,4246.625416221769,4305.967127224427,4449.280905617025,4528.7022656876425,-440044.45173829154,4255.1929989461205,4330.055059425402,4429.280510998285,6439.48,7535.61,4104.780580180996,-195.74283,-90.05291973717472,128.2239849497881,22.54039921849992,669343.1376005859,668797.2078345948,669340.9179662847,4138.769773,4139.515396,4139.231873
